Abduct,/abˈdəkt/,Take (someone) away illegally by force or deception; kidnap.,"""The millionaire who disappeared may have been abducted.""","Abduct, carry off, capture, seize, snatch, hold to ransom, take as hostage, hijack.",(of a muscle) move (a limb or part) away from the midline of the body or from another part.,"""The posterior rectus muscle, which abducts the eye.""",,,,,[sound:AUDIO-Abduct.mp3],
Abed,/əˈbed/,In bed.,"""She is resting&nbsp;abed&nbsp;while recovering from her operation.""",,,,,,,,[sound:AUDIO-Abed.mp3],
Aberrant,/ˈabərənt/,Departing from an accepted standard.,"""This somewhat aberrant behavior requires an explanation.""","Deviant, deviating, divergent, abnormal, atypical, anomalous, digressive, irregular.",,,,,,,[sound:AUDIO-Aberrant.mp3],
Aberration,/ˌabəˈrāSH(ə)n/,"A departure from what is normal, usual, or expected, typically one that is unwelcome.","""They described the outbreak of violence in the area as an aberration.""","Anomaly, deviation, divergence, abnormality, irregularity, variation, digression, freak, rogue, rarity, quirk, oddity, curiosity, mistake.",,,,,,,[sound:AUDIO-Aberration.mp3],
Abet,/əˈbet/,"Encourage or assist (someone) to do something wrong, in particular, to commit a crime or other offense.","""He was not guilty of murder but was guilty of aiding and abetting others.""","Assist, aid, help, lend a hand, support, back, encourage.",,,,,,,[sound:AUDIO-Abet.mp3],
Abeyance,/əˈbāəns/,A state of temporary disuse or suspension.,"""Matters were held in abeyance pending further inquiries.""","Suspend, adjourn, interrupt, break off, postpone, delay, defer, shelve, arrest, put off, intermit, prorogue, hold over, put aside, pigeonhole.",,,,,,,[sound:AUDIO-Abeyance.mp3],
Abhor,/abˈhôr/,Regard with disgust and hatred.,"""Professional tax preparers abhor a flat tax because it would dry up their business.""","Abhor, hate, loathe, despise, abominate, execrate, regard with disgust, feel disgust for, feel repugnance towards, feel distaste for, shrink from, recoil from, shudder at, be unable to bear, be unable to abide, feel hostility to, feel aversion to, feel animosity to, find intolerable, dislike, disdain, have an aversion to.",,,,,,,[sound:AUDIO-Abhor.mp3],
Abide,/əˈbīd/,"Accept or act in accordance with (a rule, decision, or recommendation).","""I said I would abide by their decision.""","Comply with, obey, observe, follow, keep to, hold to, conform to, adhere to, stick to, stand by, act in accordance with, uphold, heed, pay attention to, agree to, agree with, consent to, accede to, accept, acquiesce in, go along with, acknowledge, respect, defer to.",Be unable to tolerate (someone or something).,"""If there is one thing I cannot abide it is a lack of discipline.""","Tolerate, bear, stand, put up with, endure, suffer, accept, cope with, live with, brook, support, take, countenance, face, handle.",(of a feeling or memory) continue without fading or being lost.,"""At least one memory will abide.""","Continue, remain, survive, last, persist, stay, hold on, live on.",[sound:AUDIO-Abide.mp3],
Abject,/ˈabˌjekt/,(of something bad) experienced or present to the maximum degree.,"""His letter plunged her into abject misery.""",,(of a person or their behavior) completely without pride or dignity; self-abasing.,"""An abject apology.""","Obsequious, grovelling, crawling, creeping, fawning, toadyish, servile, cringing, snivelling, ingratiating, toadying, sycophantic, submissive, craven, humiliating.",,,,[sound:AUDIO-Abject.mp3],
Abjure,/abˈjo͝or/,"Solemnly renounce (a belief, cause, or claim).","""His refusal to abjure the catholic faith.""","Renounce, relinquish, reject, dispense with, forgo, forswear, disavow, abandon, deny, gainsay, disclaim, repudiate, give up, spurn, abnegate, wash one's hands of, drop, do away with.",,,,,,,[sound:AUDIO-Abjure.mp3],
Abnegate,/ˈabnəˌɡāt/,Renounce or reject (something desired or valuable).,"""He attempts to abnegate personal responsibility.""","Renounce, reject, refuse, abandon, spurn, abdicate, give up, relinquish, abjure, repudiate, forswear, disavow, cast aside, drop, turn one's back on, wash one's hands of, eschew.",,,,,,,[sound:AUDIO-Abnegate.mp3],
Abnormal,/abˈnôrməl/,"Deviating from what is normal or usual, typically in a way that is undesirable or worrying.","""The illness is recognizable from the patient's abnormal behavior.""","Unusual, uncommon, atypical, untypical, non-typical, unrepresentative, rare, isolated, irregular, anomalous, deviant, deviating, divergent, wayward, aberrant, freak, freakish.",,,,,,,[sound:AUDIO-Abnormal.mp3],
Abominable,/əˈbäm(ə)nəb(ə)l/,Causing moral revulsion.,"""The uprising was suppressed with abominable cruelty.""","Loathsome, detestable, hateful, odious, obnoxious, despicable, contemptible, damnable, cursed, accursed, diabolical.",,,,,,,[sound:AUDIO-Abominable.mp3],
Abomination,/əˌbäməˈnāSH(ə)n/,A thing that causes disgust or hatred.,"""Concrete abominations masquerading as hotels.""","Atrocity, disgrace, horror, obscenity, outrage, curse, torment, evil, crime, monstrosity, violation, bugbear, anathema, bane.",,,,,,,[sound:AUDIO-Abomination.mp3],
Aboriginal,/ˌabəˈrijənl/,An aboriginal inhabitant of a place.,,"Native, indigene, aborigine, local, original inhabitant.",,,,,,,[sound:AUDIO-Aboriginal.mp3],
Abort,/əˈbôrt/,"An act of aborting a flight, space mission, or other enterprise.","""There was an abort because of bad weather.""",,Bring to a premature end because of a problem or fault.,"""The pilot aborted his landing.""","Halt, stop, end, call off, cut short, discontinue, terminate, arrest, suspend, check, nullify.",,,,[sound:AUDIO-Abort.mp3],
Abortive,/əˈbôrdiv/,Failing to produce the intended result.,"""An abortive attempt to overthrow the government.""","Failed, unsuccessful, non-successful, vain, thwarted, futile, useless, worthless, ineffective, ineffectual, to no effect, inefficacious, fruitless, unproductive, unavailing, to no avail, sterile, nugatory.",(of a virus infection) failing to produce symptoms.,,,Causing or resulting in abortion.,"""Abortive techniques.""",,[sound:AUDIO-Abortive.mp3],
Abound,/əˈbound/,Exist in large numbers or amounts.,"""Rumors of a further scandal abound.""","Be plentiful, be abundant, be numerous, proliferate, superabound, thrive, flourish, be thick on the ground.",,,,,,,[sound:AUDIO-Abound.mp3],
Aboveboard,/əˌbʌv ˈbɔːd/,"Legitimate, honest, and open.","""We felt the judging was all above board and fair.""",,,,,,,,[sound:AUDIO-Aboveboard.mp3],
Abrade,/əˈbrād/,Scrape or wear away by friction or erosion.,"""A landscape slowly abraded by a fine, stinging dust.""","Wear away, wear down, wear, erode, scrape away, corrode, eat away at, gnaw away at, bite into, scour, rasp, strip, flay.",,,,,,,[sound:AUDIO-Abrade.mp3],
Abrasive,/əˈbrāsiv/,"A substance used for grinding, polishing, or cleaning a hard surface.","""The refrigerator is easily damaged by abrasives.""",,(of a person or manner) showing little concern for the feelings of others; harsh.,"""Her abrasive and arrogant personal style won her few friends.""","Caustic, cutting, grating, biting, acerbic, vitriolic.",,,,[sound:AUDIO-Abrasive.mp3],
Abreast,/əˈbrest/,Side by side and facing the same way.,"""The path was wide enough for two people to walk abreast.""","In a row, side by side, alongside, level, abeam, on a level, beside each other, shoulder to shoulder, cheek by jowl.",Alongside or even with something.,"""The cart came abreast of the americans in their rickshaw.""",,,,,[sound:AUDIO-Abreast.mp3],
Abridge,/əˈbrij/,Shorten (a piece of writing) without losing the sense.,"""The introduction is abridged from the author's afterword to the novel.""","Shorten, cut, cut down, cut short, curtail, truncate, lessen, trim, crop, clip, pare down, prune.",Curtail (a right or privilege).,"""Even the right to free speech can be abridged.""",,,,,[sound:AUDIO-Abridge.mp3],
Abrogate,/ˈabrəˌɡāt/,"Repeal or do away with (a law, right, or formal agreement).","""A proposal to abrogate temporarily the right to strike.""","Repudiate, revoke, repeal, rescind, overturn, overrule, override, do away with, annul, cancel, break off, invalidate, nullify, void, negate, dissolve, countermand, veto, declare null and void, discontinue.",Evade (a responsibility or duty).,"""We believe the board is abrogating its responsibilities to its shareholders.""",,,,,[sound:AUDIO-Abrogate.mp3],
Abscess,/ˈabˌses/,"A swollen area within body tissue, containing an accumulation of pus.","""Once the abscesses burst, they usually discharge for several days before gradually healing up.""","Ulcer, ulceration, cyst, boil, blister, sore, pustule, carbuncle, pimple, spot, papule, wen, whitlow, vesication, furuncle, canker.",,,,,,,[sound:AUDIO-Abscess.mp3],
Abscission,/abˈsiZHən/,"The natural detachment of parts of a plant, typically dead leaves and ripe fruit.","""Leaf abscission in trees.""",,,,,,,,[sound:AUDIO-Abscission.mp3],
Abscond,/əbˈskänd/,"Leave hurriedly and secretly, typically to avoid detection of or arrest for an unlawful action such as theft.","""She absconded with the remaining thousand dollars.""","Run away, escape, bolt, clear out, flee, make off, take flight, take off, fly, decamp.",,,,,,,[sound:AUDIO-Abscond.mp3],
Absence,/ˈabsəns/,The state of being away from a place or person.,"""The letter had arrived during his absence.""","Non-attendance, non-appearance, absenteeism.",,,,,,,[sound:AUDIO-Absence.mp3],
Absolute,/ˈabsəˌlo͞ot/,A value or principle which is regarded as universally valid or which may be viewed without relation to other things.,"""Good and evil are presented as absolutes.""",,Viewed or existing independently and not in relation to other things; not relative or comparative.,"""Absolute moral standards.""","Universal, fixed, independent, non-relative, non-variable, absolutist.",,,,[sound:AUDIO-Absolute.mp3],
Absolve,/əbˈzälv/,"Set or declare (someone) free from blame, guilt, or responsibility.","""The pardon absolved them of any crimes.""","Exonerate, discharge, acquit, exculpate, vindicate.",,,,,,,[sound:AUDIO-Absolve.mp3],
Abstain,/əbˈstān/,Restrain oneself from doing or enjoying something.,,,,,,,,,[sound:AUDIO-Abstain.mp3],
Abstemious,/əbˈstēmēəs/,"Not self-indulgent, especially when eating and drinking.","""“we only had a bottle.” “very abstemious of you.”.""","Temperate, abstinent, austere, moderate, self-disciplined, self-denying, restrained, self-restrained, non-indulgent, sober, ascetic, puritanical, spartan, strict, severe, self-abnegating, hair-shirt.",,,,,,,[sound:AUDIO-Abstemious.mp3],
Abstinence,/ˈabstənəns/,"The fact or practice of restraining oneself from indulging in something, typically alcohol.","""I started drinking again after six years of abstinence.""","Teetotalism, temperance, sobriety, abstemiousness, abstention.",,,,,,,[sound:AUDIO-Abstinence.mp3],
Abstract,/abˈstrakt/,"A summary of the contents of a book, article, or formal speech.","""An abstract of his inaugural address.""","Summary, synopsis, precis, résumé, outline, recapitulation, abridgement, condensation, digest, summation.",An abstract work of art.,"""A big unframed abstract.""",,That which is abstract; the theoretical consideration of something.,"""The abstract must be made concrete by examples.""",,[sound:AUDIO-Abstract.mp3],
Abstruse,/abˈstro͞os/,Difficult to understand; obscure.,"""An abstruse philosophical inquiry.""","Obscure, arcane, esoteric, little known, recherché, rarefied, recondite, difficult, hard, puzzling, perplexing, enigmatic, inscrutable, cryptic, delphic, complex, complicated, involved, above one's head, over one's head, incomprehensible, unfathomable, impenetrable, mysterious.",,,,,,,[sound:AUDIO-Abstruse.mp3],
Abundant,/əˈbəndənt/,Existing or available in large quantities; plentiful.,"""There was abundant evidence to support the theory.""","Plentiful, copious, ample, profuse, rich, lavish, liberal, generous, bountiful, large, huge, great, bumper, overflowing, superabundant, infinite, inexhaustible, opulent, prolific, teeming.",,,,,,,[sound:AUDIO-Abundant.mp3],
Abusive,/əˈbyo͞osiv/,Extremely offensive and insulting.,"""He became quite abusive and swore at her.""","Insulting, rude, vulgar, offensive, disparaging, belittling, derogatory, disrespectful, denigratory, uncomplimentary, pejorative, vituperative.",Engaging in or characterized by habitual violence and cruelty.,"""Abusive parents.""","Cruel, brutal, savage, inhuman, barbaric, barbarous, brutish, vicious, sadistic.",Involving injustice or illegality.,"""The abusive and predatory practices of businesses.""",,[sound:AUDIO-Abusive.mp3],
Abut,/əˈbət/,(of an area of land or a building) be next to or have a common boundary with.,"""Gardens abutting prescott street.""","Neighbouring, adjacent, adjoining, next-door, bordering, abutting.",,,,,,,[sound:AUDIO-Abut.mp3],
Abysmal,/əˈbizməl/,Extremely bad; appalling.,"""The quality of her work is abysmal.""","Very bad, dreadful, awful, terrible, frightful, atrocious, disgraceful, deplorable, shameful, woeful, hopeless, lamentable, laughable, substandard, poor, inadequate, inferior, unsatisfactory.",Very deep.,"""Waterfalls that plunge into abysmal depths.""","Profound, extreme, utter, complete, thorough, deep, endless, immeasurable, boundless, incalculable, unfathomable, bottomless.",,,,[sound:AUDIO-Abysmal.mp3],
Abyss,/əˈbis/,A deep or seemingly bottomless chasm.,"""A rope led down into the dark abyss.""","Chasm, gorge, ravine, canyon, fissure, rift, crevasse, gap, hole, gulf, pit, depth, cavity, void, bottomless pit.",,,,,,,[sound:AUDIO-Abyss.mp3],
Acarpous,/(ˌ)eɪˈkɑːpəs/,"Not producing fruit; unfruitful, sterile; (botany). frequently figurative: failing to achieve the desired results, unproductive; barren.",,,,,,,,,[sound:AUDIO-Acarpous.mp3],
Accede,/əkˈsēd/,"Assent or agree to a demand, request, or treaty.","""The authorities did not accede to the strikers' demands.""","Agree to, consent to, accept, assent to, acquiesce in, endorse, comply with, go along with, concur with, allow, recognize, grant, surrender to, yield to, give in to, give way to, defer to.",Assume an office or position.,"""He acceded to the post of director in september.""","Succeed to, assume, attain, come to, come into, inherit, take over, be elevated to.",,,,[sound:AUDIO-Accede.mp3],
Accentuate,/əkˈsen(t)SHəˌwāt/,Make more noticeable or prominent.,"""His jacket unfortunately accentuated his paunch.""","Focus attention on, bring attention to, call attention to, draw attention to, point up, underline, underscore, accent, highlight, spotlight, foreground, feature, give prominence to, make more prominent, make more noticeable, play up, bring to the fore, heighten, stress, emphasize, lay emphasis on, put emphasis on.",,,,,,,[sound:AUDIO-Accentuate.mp3],
Access,/ˈakˌses/,Approach or enter (a place).,"""Single rooms have private baths accessed via the balcony.""",,"Obtain, examine, or retrieve (data or a file).","""Information can be accessed from several files and displayed at the same time.""","Retrieve, gain, gain access to, acquire, obtain.",,,,[sound:AUDIO-Access.mp3],
Accessible,/əkˈsesəb(ə)l/,(of a place) able to be reached or entered.,"""The town is accessible by bus.""","Reachable, attainable, approachable, within reach, available, on hand, obtainable.","(of a person, typically one in a position of authority or importance) friendly and easy to talk to; approachable.","""He is more accessible than most tycoons.""","Approachable, available, easy-going, informal, friendly, welcoming, hospitable, pleasant, agreeable, obliging, congenial, affable, cordial.",,,,[sound:AUDIO-Accessible.mp3],
Accession,/akˈseSHən/,The attainment or acquisition of a position of rank or power,"""The Queen's&nbsp;accession to&nbsp;the throne""","<div><div>Succession, elevation</div></div>","A new item added to an existing collection of books, paintings, or artifacts.","""The day-to-day work of cataloguing new accessions.""","Addition, acquisition, new item, gift, purchase, adjunct, add-on, gain.",,,,[sound:AUDIO-Accession.mp3],
Accessory,/əkˈses(ə)rē/,Contributing to or aiding an activity or process in a minor way; subsidiary or supplementary.,"""Functionally the maxillae are a pair of accessory jaws.""","Additional, extra, supplementary, supplemental, auxiliary, ancillary, secondary, subsidiary, supportive, assisting, reserve, complementary, further, more, add-on.","Someone who gives assistance to the perpetrator of a crime, without directly committing it, sometimes without being present.","""She was charged as an accessory to murder.""","Accomplice, partner in crime, abetter, associate, confederate, collaborator, fellow conspirator, henchman, conniver.",,,,[sound:AUDIO-Accessory.mp3],
Acclaim,/əˈklām/,Enthusiastic and public praise.,"""She has won acclaim for her commitment to democracy.""","Praise, applause, cheers, ovation, tribute, accolade, acclamation, salutes, plaudits.",,,,,,,[sound:AUDIO-Acclaim.mp3],
Acclimate,/ˈakləˌmāt/,Become accustomed to a new climate or to new conditions.,"""It will take a few days to get acclimated to the altitude.""","Adjust, acclimatize, accommodate, attune, habituate, acculturate, conform.",,,,,,,[sound:AUDIO-Acclimate.mp3],
Acclivity,/əˈklivədē/,An upward slope.,,"Slope, rise, incline, gradient, ramp, acclivity, tump.",,,,,,,[sound:AUDIO-Acclivity.mp3],
Accolade,/ˈakəˌlād/,An award or privilege granted as a special honor or as an acknowledgment of merit.,"""The ultimate official accolade of a visit by the president.""","Honour, recognition, privilege, award, gift, title.",A touch on a person's shoulders with a sword at the bestowing of a knighthood.,,,,,,[sound:AUDIO-Accolade.mp3],
Accommodate,/əˈkäməˌdāt/,"(of physical space, especially a building) provide lodging or sufficient space for.","""The cabins accommodate up to 6 people.""","Lodge, house, put up, billet, quarter, board, take in, provide shelter for, shelter, give a bed to, give someone a roof over their head, provide a roof over someone's head, harbour, make room for, give accommodation to, provide with accommodation, provide accommodation for.",Fit in with the wishes or needs of.,"""Any language must accommodate new concepts.""","Help, fit in with, allow for, assist, aid, lend a hand to, oblige, serve, do someone a service, meet the needs of, meet the wants of, do someone a good turn, favour, do someone a favour, cater for, indulge, pander to, humour, gratify, satisfy.",,,,[sound:AUDIO-Accommodate.mp3],
Accompaniment,/əˈkəmp(ə)nimənt/,"A musical part that supports or partners a solo instrument, voice, or group.","""She sang to a guitar accompaniment.""","Backing, support, background, soundtrack, comp.","Something that is supplementary to or complements something else, typically food.","""Sugar snap peas make a delicious accompaniment for salmon.""","Complement, supplement, addition, adjunct, appendage, trimming, companion, accessory.",,,,[sound:AUDIO-Accompaniment.mp3],
Accompany,/əˈkəmp(ə)nē/,Go somewhere with (someone) as a companion or escort.,"""The two sisters were to accompany us to new york.""","Go with, go along with, travel with, keep someone company, tag along with, partner, escort, chaperone, attend, follow, conduct, lead, take, show, see, guide, steer, usher, pilot, convoy, help, assist, show someone the way.",Be present or occur at the same time as (something else).,"""The illness is often accompanied by nausea.""","Occur with, co-occur with, coincide with, coexist with, go with, go along with, go together with, go hand in hand with, appear with.",Play a musical accompaniment for.,"""He would play his violin, and mother used to accompany him on our organ.""","Back, play a musical accompaniment for, play with, play for, support.",[sound:AUDIO-Accompany.mp3],
Accomplice,/əˈkämpləs/,A person who helps another commit a crime.,"""An accomplice in the murder.""","Abetter, accessory, partner in crime, associate, confederate, collaborator, fellow conspirator, co-conspirator.",,,,,,,[sound:AUDIO-Accomplice.mp3],
Accomplish,/əˈkämpliSH/,Achieve or complete successfully.,"""The planes accomplished their mission.""","Fulfil, achieve, succeed in, realize, attain, manage, bring about, bring off, carry out, carry off, carry through, execute, conduct, effect, fix, engineer, perform, do, perpetrate, discharge, complete, finish, consummate, conclude.",,,,,,,[sound:AUDIO-Accomplish.mp3],
Accord,/əˈkôrd/,An official agreement or treaty.,"""Opposition groups refused to sign the accord.""","Pact, treaty, agreement, settlement, deal, entente, concordat, concord, protocol, compact, contract, convention.",(of a concept or fact) be harmonious or consistent with.,"""His views accorded well with those of merivale.""","Correspond, agree, tally, match up, concur, coincide, be in agreement, be consistent, equate, harmonize, be in harmony, be compatible, be consonant, be congruous, be in tune, dovetail, correlate.",,,,[sound:AUDIO-Accord.mp3],
Accordion,/əˈkôrdēən/,"A portable musical instrument with metal reeds blown by bellows, played by means of keys and buttons.","""An accordion player.""<br><img src=""paste-23982f249d2a9e8aa9f125cca1cd9d9afc74abec.jpg""><br>",,,,,,,,[sound:AUDIO-Accordion.mp3],"<a href=""https://www.google.com/imgres?imgurl=https",3A,2F,2Fimgs.classicfm.com,2Fimages,2F124960,3Fwidth,3D1000,26crop,3D16_9,26signature,3DNFlhQmWawPGglq-5cxbVGEHWrMA,3D&amp;imgrefurl=https,3A,2F,2Fwww.classicfm.com,2Fdiscover-music,2Finstruments,2Faccordion,2Fhow-it-works-how-to-tune-history,"2F&amp;tbnid=1CDtUQO2k0GohM&amp;vet=12ahUKEwil8Ji5iev0AhWtgc4BHTxqDdYQMygDegUIARDjAQ..i&amp;docid=BEBY23-wSBVqPM&amp;w=1000&amp;h=562&amp;itg=1&amp;q=accordian&amp;hl=en-GB&amp;ved=2ahUKEwil8Ji5iev0AhWtgc4BHTxqDdYQMygDegUIARDjAQ"">https://www.google.com/imgres?imgurl=https",3A,2F,2Fimgs.classicfm.com,2Fimages,2F124960,3Fwidth,3D1000,26crop,3D16_9,26signature,3DNFlhQmWawPGglq-5cxbVGEHWrMA,3D&amp;imgrefurl=https,3A,2F,2Fwww.classicfm.com,2Fdiscover-music,2Finstruments,2Faccordion,2Fhow-it-works-how-to-tune-history,2F&amp;tbnid=1CDtUQO2k0GohM&amp;vet=12ahUKEwil8Ji5iev0AhWtgc4BHTxqDdYQMygDegUIARDjAQ..i&amp;docid=BEBY23-wSBVqPM&amp;w=1000&amp;h=562&amp;itg=1&amp;q=accordian&amp;hl=en-GB&amp;ved=2ahUKEwil8Ji5iev0AhWtgc4BHTxqDdYQMygDegUIARDjAQ</a>
Accost,/əˈkôst/,Approach and address (someone) boldly or aggressively.,"""Reporters accosted him in the street.""","Speak to, talk to, call to, shout to, hail, initiate a discussion with.",,,,,,,[sound:AUDIO-Accost.mp3],
Account,/əˈkount/,Consider or regard in a specified way.,"""Her visit could not be accounted a success.""","Consider, regard as, reckon, hold to be, think, think of as, look on as, view as, see as, take for, judge, adjudge, count, deem, rate, gauge, interpret as.",A record or statement of financial expenditure and receipts relating to a particular period or purpose.,"""The ledger contains all the income and expense accounts.""","Financial record, book, ledger, journal, balance sheet, financial statement, results.",A report or description of an event or experience,"""A detailed account of what has been achieved.""","Description, report, version, story, narration, narrative",[sound:AUDIO-Account.mp3],
Accoutre,/əˈkuːtə/,Clothe or equip in something noticeable or impressive.,"""Magnificently accoutred, he was led up to the high altar.""","Equip, kit out, fit out, fit up, rig out, supply, issue, furnish with, provide, provision, stock, arm.",,,,,,,[sound:AUDIO-Accoutre.mp3],
Accoutrement,/əˈkuːtəm(ə)nt/,An additional item of dress or equipment.,"""The accoutrements of religious ritual.""","Equipment, stuff, things, apparatus, tackle, kit, implements, tools, utensils, material, materials, appliances, rig, outfit, accoutrements, appurtenances, impedimenta, miscellaneous articles, odds and ends, bits and pieces, bits and bobs, trappings, accessories.",,,,,,,[sound:AUDIO-Accoutrement.mp3],
Accredit,/əˈkredət/,Give credit to (someone) for something.,"""He was accredited with being one of the world's fastest sprinters.""","Recognize as, credit with.",(of an official body) give authority or sanction to (someone or something) when recognized standards have been met.,"""Institutions that do not meet the standards will not be accredited for teacher training.""","Recognize, license, authorize, approve, certify, warrant, empower, depute, endorse, sanction, vouch for, put one's seal of approval on, appoint.","Give official authorization for (someone, typically a diplomat or journalist) to be in a particular place or to hold a particular post.","""An ambassador accredited to a northern european country.""","Official, appointed, legal, recognized, licensed, authorized, approved, certified, warranted, empowered, deputed, endorsed, sanctioned, vouched for.",[sound:AUDIO-Accredit.mp3],
Accretion,/əˈkrēSH(ə)n/,"The process of growth or increase, typically by the gradual accumulation of additional layers or matter.","""The accretion of sediments in coastal mangroves.""","Accumulation, collecting, gathering, amassing, cumulation, accrual, growth, formation, enlargement, increase, gain, augmentation, rise, mushrooming, snowballing.",,,,,,,[sound:AUDIO-Accretion.mp3],
Accrue,/əˈkro͞o/,(of sums of money or benefits) be received by someone in regular or increasing amounts over time.,"""Financial benefits will accrue from restructuring.""","Result, arise, follow, ensue, emanate, stem, spring, flow.",,,,,,,[sound:AUDIO-Accrue.mp3],
Acculturation,/əˌkəlCHəˈrāSH(ə)n/,"Assimilation to a different culture, typically the dominant one.","""The process of acculturation may impact both social and psychological well-being.""",,,,,,,,[sound:AUDIO-Acculturation.mp3],
Accumulate,/əˈkyo͞om(y)əˌlāt/,Gather together or acquire an increasing number or quantity of.,"""Investigators have yet to accumulate enough evidence.""","Gather, collect, assemble.",,,,,,,[sound:AUDIO-Accumulate.mp3],
Accurse,/əˈkəːs/,Put a curse on; curse.,"""We accurse them by the authority of the court of rome.""","Put a curse on, put the evil eye on, execrate, imprecate, hoodoo.",,,,,,,[sound:AUDIO-Accurse.mp3],
Accusation,/ˌakyəˈzāSH(ə)n/,A charge or claim that someone has done something illegal or wrong.,"""Accusations of bribery.""","Allegation, charge, claim, assertion, asseveration, attribution, incrimination, imputation, denouncement, indictment, arraignment, citation, inculpation, blame, condemnation, criticism, complaint.",,,,,,,[sound:AUDIO-Accusation.mp3],
Accuse,/əˈkyo͞oz/,Charge (someone) with an offense or crime.,"""He was accused of murdering his wife's lover.""","Charge with, indict for, arraign for, take to court for, put on trial for, bring to trial for, prosecute for.",,,,,,,[sound:AUDIO-Accuse.mp3],
Accustom,/əˈkəstəm/,Make (someone or something) accept something as normal or usual.,"""I accustomed my eyes to the lenses.""","Adapt, adjust, acclimatize, attune, habituate, accommodate, assimilate, acculturate, inure, harden, condition, reconcile, become resigned, resign.",,,,,,,[sound:AUDIO-Accustom.mp3],
Acerbic,/əˈsərbik/,(especially of a comment or style of speaking) sharp and forthright.,"""His acerbic wit.""","Sharp, sarcastic, sardonic, satirical, scathing, cutting, razor-edged, incisive, penetrating, piercing, biting, stinging, searing, keen, caustic, trenchant, bitter, acrimonious, astringent, harsh, severe, devastating, abrasive, wounding, hurtful, unkind, cruel, vitriolic, virulent, mordant, venomous, waspish, poisonous, spiteful, vicious, malicious.",Tasting sour or bitter.,,"Sour, acid, acidic, acidulated, tart, bitter, unsweetened, sharp, acetic, acetous, vinegary, pungent, acrid.",,,,[sound:AUDIO-Acerbic.mp3],
Acetate,/ˈasəˌtāt/,"A salt or ester of acetic acid, containing the anion ch₃coo⁻ or the group —occh₃.",,,"Cellulose acetate, especially as used to make textile fibers or plastic.","""Acetate silk.""",,,,,[sound:AUDIO-Acetate.mp3],
Acetic,/əˈsēdik/,Of or like vinegar or acetic acid.,,,,,,,,,[sound:AUDIO-Acetic.mp3],
